id,city,state,latitude,longitude,neighbourhood_cleansed,first_review
15666157,Denver,CO,39.67549,-104.97237,University,4/12/2019
15674169,Denver,CO,39.70968,-104.98201999999999,Washington Park West,1/27/2019
15674568,Denver,CO,39.66936,-104.96533000000001,University,12/4/2016
15680276,Denver,CO,39.74308,-104.9679,City Park West,1/1/2017
15743145,Denver,CO,39.77012,-104.9664,Cole,12/5/2016
15744244,Denver,CO,39.77427,-105.03376999999999,Berkeley,11/26/2016
15745694,Denver,CO,39.7194,-104.98266000000001,Speer,11/13/2016
15746223,Denver,CO,39.739470000000004,-105.0342,West Colfax,12/19/2016
15746851,Denver,CO,39.754329999999996,-104.93919,North Park Hill,12/7/2016
15764973,Denver,CO,39.73157,-105.04981000000001,Villa Park,11/5/2016
15766497,Denver,CO,39.757459999999995,-104.97383,Five Points,12/10/2016
15787181,Denver,CO,39.79732,-104.82813,Montbello,11/6/2016
15788708,Denver,CO,39.74812,-104.97198999999999,City Park West,11/13/2016
15792283,Denver,CO,39.76078,-105.03111000000001,West Highland,7/7/2019
15800346,Denver,CO,39.76488,-105.02068999999999,Highland,11/28/2016
15802190,Denver,CO,39.70498,-104.97945,Washington Park West,11/13/2016
15802763,Denver,CO,39.759859999999996,-104.99638,Five Points,4/30/2017
15805779,Denver,CO,39.77066,-105.00911,Sunnyside,11/24/2016
15807058,Denver,CO,39.74335,-104.96836,City Park West,7/3/2017
15807599,Denver,CO,39.74606,-105.02727,West Colfax,11/6/2016
15817834,Denver,CO,39.6954,-104.94679,Cory - Merrill,12/4/2016
15831072,Denver,CO,39.75564,-104.96269,Whittier,11/15/2016
15844892,Denver,CO,39.733270000000005,-104.97164,Cheesman Park,12/29/2016
15846078,Denver,CO,39.73372,-104.92398999999999,Hale,3/2/2017
15856463,Denver,CO,39.696220000000004,-104.98558,Platt Park,1/1/2017
15858900,Denver,CO,39.745670000000004,-104.99592,CBD,6/8/2018
15867861,Denver,CO,39.75674,-104.97346999999999,Five Points,7/5/2019
15869291,Denver,CO,39.74965,-105.02716000000001,Sloan Lake,1/28/2017
15872243,Denver,CO,39.78524,-104.98655,Globeville,5/22/2017
15872268,Denver,CO,39.7378,-104.98198000000001,Capitol Hill,
15874051,Denver,CO,39.760940000000005,-104.96633999999999,Whittier,6/30/2017
15897404,Denver,CO,39.747240000000005,-104.99615,CBD,3/31/2017
15902411,Denver,CO,39.76251,-104.90952,Northeast Park Hill,1/18/2017
15912228,Denver,CO,39.74709,-104.99703999999998,CBD,10/2/2017
15943259,Denver,CO,39.75571,-104.939,North Park Hill,11/24/2016
15948617,Denver,CO,39.77554,-104.75848,Gateway - Green Valley Ranch,4/10/2017
15957321,Denver,CO,39.77239,-105.03302,Berkeley,1/1/2017
15978051,Denver,CO,39.71604,-104.98753,Baker,12/12/2016
15989734,Denver,CO,39.700759999999995,-104.98673000000001,Washington Park West,1/7/2018
15999220,Denver,CO,39.75192,-104.97648000000001,Five Points,6/12/2017
16025874,Denver,CO,39.74361,-104.90803000000001,South Park Hill,1/16/2017
16026150,Denver,CO,39.77223,-105.0045,Sunnyside,1/1/2017
16026347,Denver,CO,39.73979,-104.96157,Cheesman Park,12/18/2016
16037872,Denver,CO,39.72578,-104.97939,Speer,11/27/2016
16039555,Denver,CO,39.688109999999995,-104.98573999999999,Platt Park,1/16/2017
16041475,Denver,CO,39.76145,-105.01982,Highland,7/16/2017
16041539,Denver,CO,39.754529999999995,-104.96541,Whittier,11/21/2016
16054644,Denver,CO,39.72886,-104.99654,Lincoln Park,11/27/2016
16065774,Denver,CO,39.75233,-105.02158,Jefferson Park,12/3/2016
16066443,Denver,CO,39.74807,-105.02426000000001,Jefferson Park,2/5/2018
16087125,Denver,CO,39.75894,-104.98296,Five Points,12/12/2016
16087887,Denver,CO,39.6935,-104.91816999999999,Virginia Village,1/2/2017
16089404,Denver,CO,39.766659999999995,-104.97083,Cole,12/18/2016
16115411,Denver,CO,39.767509999999994,-104.99985,Highland,1/5/2017
16135804,Denver,CO,39.743559999999995,-104.94533,City Park,11/29/2016
16156076,Denver,CO,39.74106,-104.96276999999999,City Park West,12/11/2016
16159967,Denver,CO,39.75139,-104.99548,Union Station,12/7/2017
16160474,Denver,CO,39.78528,-105.03698999999999,Regis,8/18/2017
16163913,Denver,CO,39.75888,-104.93951000000001,North Park Hill,1/11/2017
16165056,Denver,CO,39.755790000000005,-104.92011000000001,North Park Hill,12/17/2016
16172759,Denver,CO,39.74269,-104.97856000000002,North Capitol Hill,12/9/2016
16177792,Denver,CO,39.68094,-104.95212,University Park,1/4/2017
16178010,Denver,CO,39.75275,-105.02141,Jefferson Park,12/12/2016
16203754,Denver,CO,39.762609999999995,-104.90996000000001,Northeast Park Hill,1/6/2017
16207367,Denver,CO,39.75421,-105.00793,Union Station,9/28/2017
16214953,Denver,CO,39.738440000000004,-104.97877,Capitol Hill,2/5/2017
16216415,Denver,CO,39.68769,-104.97895,Platt Park,4/17/2017
16217910,Denver,CO,39.76983,-104.92595,Northeast Park Hill,12/21/2016
16221291,Denver,CO,39.714259999999996,-104.9883,Baker,1/1/2017
16221460,Denver,CO,39.74814,-104.8946,Stapleton,
16238697,Denver,CO,39.71719,-104.93598999999999,Hilltop,4/16/2017
16244480,Denver,CO,39.74948,-105.03925,Sloan Lake,12/25/2016
16258368,Denver,CO,39.721540000000005,-104.98973000000001,Baker,2/26/2017
16273597,Denver,CO,39.657090000000004,-104.92039,University Hills,1/1/2017
16283337,Denver,CO,39.757740000000005,-105.01253999999999,Highland,1/2/2017
16288030,Denver,CO,39.75188,-104.96332,Whittier,11/24/2018
16289371,Denver,CO,39.750209999999996,-105.02148999999999,Jefferson Park,1/14/2017
16299372,Denver,CO,39.71417,-104.95395,Belcaro,7/6/2019
16304484,Denver,CO,39.73189,-104.97178000000001,Cheesman Park,12/19/2016
16312814,Denver,CO,39.73173,-105.00228999999999,Lincoln Park,12/11/2016
16313398,Denver,CO,39.76017,-104.89948999999999,Stapleton,1/13/2017
16313550,Denver,CO,39.72363,-104.98063,Speer,1/9/2017
16322996,Denver,CO,39.72724,-104.97802,Speer,
16324649,Denver,CO,39.7359,-105.00133000000001,Lincoln Park,2/12/2017
16333715,Denver,CO,39.75568,-105.00287,Union Station,8/7/2017
16346391,Denver,CO,39.77189,-105.00073,Sunnyside,1/1/2017
16346720,Denver,CO,39.75206,-105.0213,Jefferson Park,2/20/2017
16361274,Denver,CO,39.7792,-105.03459,Berkeley,12/31/2016
16392236,Denver,CO,39.76158,-105.01261000000001,Highland,1/1/2017
16404214,Denver,CO,39.741009999999996,-104.95016000000001,City Park,1/2/2017
16406440,Denver,CO,39.71302,-104.98288000000001,Speer,8/4/2018
16413329,Denver,CO,39.75976,-105.01303,Highland,1/14/2017
16438823,Denver,CO,39.74315,-104.96274,City Park West,1/9/2017
16440552,Denver,CO,39.76383,-104.91978,Northeast Park Hill,1/2/2017
16443175,Denver,CO,39.74358,-104.97725,North Capitol Hill,8/29/2017
16453433,Denver,CO,39.76719,-105.03175,West Highland,5/23/2017
16476273,Denver,CO,39.772490000000005,-105.01193,Sunnyside,6/2/2017
16497996,Denver,CO,39.74154,-104.98066000000001,North Capitol Hill,1/16/2017
16516286,Denver,CO,39.68695,-105.01256000000001,Ruby Hill,3/17/2017
16522375,Denver,CO,39.74156,-104.97516999999999,North Capitol Hill,3/18/2017
16548314,Denver,CO,39.734590000000004,-104.95728000000001,Congress Park,1/11/2017
16570806,Denver,CO,39.75548,-104.93875,North Park Hill,1/21/2017
16582485,Denver,CO,39.75369,-105.00398999999999,Union Station,5/31/2017
16587500,Denver,CO,39.75747,-104.9998,Union Station,1/8/2017
16589595,Denver,CO,39.77497,-104.76243000000001,Gateway - Green Valley Ranch,1/14/2017
16598808,Denver,CO,39.75884,-104.97936000000001,Five Points,1/7/2017
16601681,Denver,CO,39.73532,-104.90518,Montclair,1/9/2017
16603848,Denver,CO,39.7849,-105.00773000000001,Chaffee Park,2/20/2017
16660933,Denver,CO,39.68399,-104.98323,Platt Park,2/12/2017
16676955,Denver,CO,39.74597,-105.02608000000001,West Colfax,2/11/2017
16687728,Denver,CO,39.74355,-104.9002,East Colfax,5/5/2017
16689262,Denver,CO,39.71289,-104.94958999999999,Belcaro,2/17/2017
16707907,Denver,CO,39.77596,-105.0247,Sunnyside,2/10/2017
16718503,Denver,CO,39.75353,-104.99604,Union Station,10/28/2017
16720974,Denver,CO,39.76337,-104.97003000000001,Cole,1/28/2017
16733876,Denver,CO,39.7868,-105.01933999999999,Chaffee Park,1/27/2017
16739250,Denver,CO,39.64718,-104.91554,Southmoor Park,4/24/2017
16741454,Denver,CO,39.77516,-105.04346000000001,Berkeley,2/5/2017
16742127,Denver,CO,39.778729999999996,-105.02051000000002,Sunnyside,3/7/2017
16807778,Denver,CO,39.78818,-104.76992,Gateway - Green Valley Ranch,1/24/2017
16811440,Denver,CO,39.69435,-104.98356000000001,Platt Park,2/12/2017
16825395,Denver,CO,39.71583,-104.99327,Baker,2/26/2017
16838784,Denver,CO,39.76497,-104.97102,Cole,3/28/2017
16843926,Denver,CO,39.76668,-104.92436000000001,Northeast Park Hill,2/5/2017
16844845,Denver,CO,39.765229999999995,-105.00867,Highland,1/31/2017
16846194,Denver,CO,39.7445,-105.03164,West Colfax,5/14/2017
16846436,Denver,CO,39.77198,-105.01517,Sunnyside,2/5/2017
16855990,Denver,CO,39.75946,-104.95467,Skyland,1/27/2017
16857174,Denver,CO,39.75437,-104.98631999999999,Five Points,1/28/2017
16860906,Denver,CO,39.750370000000004,-105.02076000000001,Jefferson Park,2/4/2017
16861201,Denver,CO,39.71897,-104.97421999999999,Speer,2/18/2018
16870084,Denver,CO,39.749109999999995,-104.99711,Union Station,7/21/2018
16870147,Denver,CO,39.66891,-104.96703000000001,University,2/20/2017
16895068,Denver,CO,39.7098,-104.98142,Washington Park West,2/3/2017
16895126,Denver,CO,39.69442,-104.91131000000001,Washington Virginia Vale,2/5/2017
16913376,Denver,CO,39.74808,-105.0221,Jefferson Park,2/19/2017
16914193,Denver,CO,39.6986,-104.97658999999999,Washington Park West,4/3/2017
16925673,Denver,CO,39.72063,-104.91275,Hilltop,3/4/2017
16944084,Denver,CO,39.76376,-104.96112,Cole,3/10/2017
16944159,Denver,CO,39.73041,-104.98723000000001,Capitol Hill,2/19/2017
16946653,Denver,CO,39.76763,-105.05216999999999,West Highland,2/19/2017
16947747,Denver,CO,39.770379999999996,-105.01064,Sunnyside,4/21/2018
16961358,Denver,CO,39.7437,-105.03118,West Colfax,5/1/2018
17012966,Denver,CO,39.7432,-104.9515,City Park,8/18/2018
17015278,Denver,CO,39.73839,-105.02968,West Colfax,2/11/2017
17022504,Denver,CO,39.76501,-104.98601000000001,Five Points,2/7/2017
17024740,Denver,CO,39.73854,-104.92348999999999,Hale,2/4/2017
17026767,Denver,CO,39.764540000000004,-105.02276,Highland,3/5/2017
17044680,Denver,CO,39.74589,-104.96288999999999,City Park West,2/19/2017
17071293,Denver,CO,39.797709999999995,-104.73568,Gateway - Green Valley Ranch,4/22/2017
17071557,Denver,CO,39.733779999999996,-104.94143999999999,Congress Park,2/21/2017
17072188,Denver,CO,39.70092,-104.98017,Washington Park West,3/7/2017
17094564,Aurora,CO,39.6457,-104.88073,Hampden South,10/30/2017
17098287,Denver,CO,39.624320000000004,-104.90772,Southmoor Park,
17108356,Denver,CO,39.72473,-105.04054,Barnum West,2/25/2017
17109410,Denver,CO,39.75631,-104.87615,Stapleton,2/6/2017
17122136,Denver,CO,39.691590000000005,-105.0108,Ruby Hill,2/15/2017
17151090,Denver,CO,39.75392,-105.0391,Sloan Lake,7/31/2017
17154487,Denver,CO,39.74423,-104.99592,CBD,
17154609,Denver,CO,39.74845,-104.97413999999999,Five Points,3/15/2017
17155560,Denver,CO,39.73925,-104.9692,Cheesman Park,3/24/2019
17155851,Denver,CO,39.76137,-104.97903000000001,Five Points,2/19/2017
17175148,Denver,CO,39.75322,-104.97923999999999,Five Points,3/6/2017
17175955,Denver,CO,39.669740000000004,-104.97311,University,2/27/2017
17185409,Denver,CO,39.74995,-104.97296999999999,City Park West,2/11/2017
17210049,Denver,CO,39.722970000000004,-104.99651000000001,Baker,2/21/2017
17240564,Denver,CO,39.74885,-104.96128999999999,City Park West,5/14/2017
17240910,Denver,CO,39.66871,-104.97178999999998,University,2/15/2017
17246892,Denver,CO,39.75074,-105.00425,Union Station,
17251698,Denver,CO,39.678309999999996,-104.97915,Rosedale,3/3/2017
17255205,Denver,CO,39.759879999999995,-105.01059,Highland,2/19/2017
17270985,Denver,CO,39.75131,-104.97684,Five Points,2/27/2017
17301247,Denver,CO,39.71642,-104.98008999999999,Speer,2/25/2017
17303217,Denver,CO,39.66679,-104.93413000000001,University Hills,3/10/2017
17316224,Denver,CO,39.66487,-104.92993999999999,University Hills,3/12/2017
17316601,Denver,CO,39.71978,-104.99133,Baker,9/2/2017
17317358,Denver,CO,39.71752,-104.98629,Speer,9/12/2017
17325994,Denver,CO,39.76013,-104.96047,Whittier,11/29/2017
17329756,Denver,CO,39.7356,-104.98045,Capitol Hill,3/3/2017
17331962,Denver,CO,39.68067,-104.96871999999999,University,5/9/2017
17341684,Denver,CO,39.76077,-104.96895,Whittier,3/31/2017
17369013,Denver,CO,39.757690000000004,-104.90713999999998,North Park Hill,3/2/2017
17381534,Denver,CO,39.71425,-104.98338999999999,Speer,3/19/2017
17386946,Denver,CO,39.721379999999996,-105.03221,Barnum,3/13/2017
17387231,Denver,CO,39.7312,-104.99876,Lincoln Park,3/7/2017
17388640,Denver,CO,39.73333,-104.97745,Capitol Hill,3/20/2017
17405963,Denver,CO,39.770920000000004,-105.01446999999999,Sunnyside,3/8/2017
17406600,Denver,CO,39.79303,-104.73671999999999,Gateway - Green Valley Ranch,3/28/2017
17430797,Denver,CO,39.74408,-104.94646999999999,City Park,7/5/2017
17435540,Denver,CO,39.73133,-104.9858,Capitol Hill,
17448570,Denver,CO,39.7233,-104.95358,Cherry Creek,8/5/2017
17462656,Denver,CO,39.74848,-104.97471999999999,Five Points,3/13/2017
17497575,Denver,CO,39.75639,-104.99101,Five Points,12/30/2018
17497576,Denver,CO,39.756240000000005,-104.99093,Five Points,12/14/2018
17497577,Denver,CO,39.754540000000006,-104.98952,Five Points,10/14/2018
17497578,Denver,CO,39.75678,-104.99091999999999,Five Points,8/19/2018
17497579,Denver,CO,39.75543,-104.99143000000001,Five Points,12/24/2018
17497580,Denver,CO,39.75631,-104.98918,Five Points,
17497585,Denver,CO,39.756640000000004,-104.9892,Five Points,12/16/2018
17497587,Denver,CO,39.75546,-104.98948,Five Points,1/6/2019
17497588,Denver,CO,39.756240000000005,-104.9901,Five Points,
17497589,Denver,CO,39.755359999999996,-104.99156,Five Points,12/11/2018
17497590,Denver,CO,39.75679,-104.98965,Five Points,
17497591,Denver,CO,39.75632,-104.99117,Five Points,
17497593,Denver,CO,39.7554,-104.98993,Five Points,1/11/2019
17498473,Denver,CO,39.67666,-104.99078,Overland,3/5/2017
17530389,Denver,CO,39.712540000000004,-104.98178999999999,Speer,3/12/2017
17545323,Denver,CO,39.67005,-104.87317,Hampden,3/31/2017
17556772,Denver,CO,39.73236,-104.96988,Cheesman Park,4/16/2017
17574946,Denver,CO,39.77001,-105.05166000000001,Berkeley,4/10/2017
17592456,Denver,CO,39.7197,-104.99642,Baker,3/10/2017
17600427,Denver,CO,39.67093,-104.9672,University,4/10/2017
17606274,Denver,CO,39.756009999999996,-104.96032,Whittier,9/10/2017
17607361,Denver,CO,39.71311,-104.98635,Speer,4/15/2017
17609487,Denver,CO,39.717220000000005,-104.99529,Baker,
17610552,Denver,CO,39.68509,-104.89636000000002,Indian Creek,5/25/2017
17623101,Denver,CO,39.77219,-105.04397,Berkeley,3/23/2017
17623780,Denver,CO,39.76934,-104.96359,Cole,1/4/2018
17634528,Denver,CO,39.76146,-105.01298,Highland,6/17/2017
17638542,Denver,CO,39.75468,-104.98998999999999,Five Points,4/9/2017
17638704,Denver,CO,39.756879999999995,-104.98916000000001,Five Points,9/21/2017
17638774,Denver,CO,39.756440000000005,-104.99065,Five Points,5/7/2017
17638877,Denver,CO,39.756820000000005,-104.99103999999998,Five Points,6/6/2017
17638962,Denver,CO,39.75503,-104.99068999999999,Five Points,4/9/2017
17639151,Denver,CO,39.75673,-104.98933000000001,Five Points,5/29/2017
17639228,Denver,CO,39.75609,-104.98951000000001,Five Points,4/22/2017
17639310,Denver,CO,39.75472,-104.99113999999999,Five Points,4/9/2017
17639379,Denver,CO,39.7555,-104.99063999999998,Five Points,4/8/2017
17639767,Denver,CO,39.756,-104.99053,Five Points,7/30/2017
17639842,Denver,CO,39.75528,-104.98974,Five Points,6/4/2017
17639913,Denver,CO,39.75613,-104.99051999999999,Five Points,7/17/2017
17640065,Denver,CO,39.75475,-104.98924,Five Points,3/5/2018
17640138,Denver,CO,39.75508,-104.99132,Five Points,1/1/2019
17640205,Denver,CO,39.755520000000004,-104.99063000000001,Five Points,3/10/2018
17640269,Denver,CO,39.75551,-104.98936,Five Points,2/15/2018
17649027,Denver,CO,39.73749,-104.94807,Congress Park,
17664945,Denver,CO,39.73624,-104.92895,Hale,3/13/2017
17668363,Denver,CO,39.75875,-104.97811000000002,Five Points,3/23/2017
17699020,Denver,CO,39.755590000000005,-104.97183000000001,Whittier,5/5/2017
17713792,Denver,CO,39.77875,-104.98358999999999,Globeville,10/16/2017
17714215,Denver,CO,39.78849,-105.05508,Regis,3/18/2017
17736834,Denver,CO,39.79267,-104.89383000000001,Stapleton,4/7/2017
17752540,Denver,CO,39.75656,-105.05288999999999,Sloan Lake,3/27/2017
17763485,Denver,CO,39.75496,-104.98965,Five Points,10/14/2018
17763486,Denver,CO,39.7567,-104.98956000000001,Five Points,10/20/2018
17792968,Denver,CO,39.788990000000005,-104.88368,Stapleton,4/11/2017
17815263,Denver,CO,39.73717,-104.96548999999999,Cheesman Park,3/30/2017
17823364,Denver,CO,39.7376,-104.95425,Congress Park,4/4/2017
17831437,Denver,CO,39.73847,-104.98228999999999,Capitol Hill,4/3/2017
17845387,Denver,CO,39.65854,-104.91705,Hampden,4/21/2017
17856827,Denver,CO,39.73189,-104.96746,Cheesman Park,4/26/2017
17859827,Denver,CO,39.71478,-104.99107,Baker,4/7/2017
17889994,Denver,CO,39.75318,-105.03401000000001,Sloan Lake,5/7/2017
17922871,Denver,CO,39.74609,-105.02803999999999,West Colfax,4/6/2017
17924602,Denver,CO,39.77952,-105.05313999999998,Berkeley,
17927914,Denver,CO,39.756240000000005,-104.98973000000001,Five Points,12/24/2018
17927915,Denver,CO,39.75485,-104.9907,Five Points,12/27/2018
17927916,Denver,CO,39.75605,-104.98968,Five Points,1/15/2019
17956049,Denver,CO,39.78802,-105.02156000000001,Chaffee Park,9/11/2017
17960399,Denver,CO,39.736740000000005,-104.96851000000001,Cheesman Park,4/12/2017
17980809,Denver,CO,39.6661,-104.91533000000001,Hampden,4/27/2017
17989806,Denver,CO,39.743,-104.978,North Capitol Hill,4/8/2017
17989895,Denver,CO,39.77243,-105.01531999999999,Sunnyside,5/14/2017
18000300,Denver,CO,39.745090000000005,-104.97821,North Capitol Hill,4/22/2017
18002228,Denver,CO,39.7367,-104.98187,Capitol Hill,4/5/2017
18008948,Denver,CO,39.7301,-104.9857,Capitol Hill,10/8/2017
18009005,Denver,CO,39.75833,-104.89175,Stapleton,5/22/2017
18009288,Denver,CO,39.73725,-104.96462,Cheesman Park,4/9/2017
18014902,Denver,CO,39.74151,-104.9743,North Capitol Hill,5/6/2017
18018738,Denver,CO,39.758,-105.02293,Jefferson Park,7/10/2017
18023988,Denver,CO,39.76315,-104.91354,Northeast Park Hill,4/18/2017
18034478,Denver,CO,39.74954,-104.90398,South Park Hill,1/28/2018
18042124,Denver,CO,39.76677,-105.01156999999999,Highland,5/29/2017
18043307,Denver,CO,39.77538,-104.75344,Gateway - Green Valley Ranch,6/18/2017
18049607,Denver,CO,39.73826,-104.93843999999999,Hale,11/9/2017
18052024,Denver,CO,39.75099,-104.97758,Five Points,5/29/2017
18076192,Denver,CO,39.66885,-104.96413999999999,University,5/3/2017
18093919,Denver,CO,39.749340000000004,-105.02291000000001,Jefferson Park,5/7/2017
18105941,Denver,CO,39.788090000000004,-105.0431,Regis,6/4/2017
18107414,Denver,CO,39.70436,-105.02058000000001,Athmar Park,7/3/2017
18121292,Denver,CO,39.641870000000004,-104.88071000000001,Hampden South,5/15/2017
18123887,Denver,CO,39.75538,-105.00323999999999,Union Station,4/22/2017
18133714,Denver,CO,39.72707,-104.9716,Country Club,5/8/2017
18137155,Denver,CO,39.76582,-104.95033000000001,Clayton,4/23/2017
18138325,Denver,CO,39.74347,-104.98006000000001,North Capitol Hill,6/18/2017
18141307,Denver,CO,39.759370000000004,-104.97034,Whittier,8/12/2017
18141501,Denver,CO,39.70219,-104.97923,Washington Park West,5/28/2017
18152287,Denver,CO,39.72983,-104.98584,Capitol Hill,6/4/2017
18152418,Denver,CO,39.75758,-104.97695,Five Points,4/30/2017
18153418,Denver,CO,39.73285,-105.02993000000001,Villa Park,4/15/2017
18177763,Denver,CO,39.7616,-104.97255,Whittier,5/8/2017
18179045,Denver,CO,39.68935,-104.98302,Platt Park,9/4/2017
18194436,Denver,CO,39.70143,-104.93373999999999,Washington Virginia Vale,4/17/2017
18209451,Denver,CO,39.73146,-104.9847,Capitol Hill,
18211893,Denver,CO,39.76611,-105.0111,Highland,5/7/2017
18222702,Denver,CO,39.76262,-105.03515,West Highland,5/29/2017
18223334,Denver,CO,39.76141,-105.0355,West Highland,5/7/2017
18227184,Denver,CO,39.74954,-104.98127,Five Points,5/5/2017
18227614,Denver,CO,39.71645,-104.99631000000001,Baker,5/28/2017
18236983,Denver,CO,39.76116,-104.9726,Whittier,5/8/2017
18238680,Denver,CO,39.76305,-105.01073999999998,Highland,4/18/2017
18250654,Denver,CO,39.73478,-104.99600000000001,Lincoln Park,5/6/2017
18256642,Denver,CO,39.77008,-105.01331,Sunnyside,4/29/2017
18273308,Denver,CO,39.74322,-104.94344,City Park,5/29/2017
18275427,Denver,CO,39.77375,-105.0181,Sunnyside,4/23/2017
18295137,Denver,CO,39.75704,-104.99991000000001,Union Station,5/7/2017
18304991,Denver,CO,39.77771,-104.98155,Globeville,2/28/2018
18306843,Denver,CO,39.76705,-104.97648000000001,Five Points,6/18/2017
18327654,Denver,CO,39.72975,-104.99463,Lincoln Park,10/10/2017
18327690,Denver,CO,39.76481,-105.01888999999998,Highland,1/15/2018
18331882,Denver,CO,39.73495,-104.97608999999999,Capitol Hill,8/26/2017
18348649,Denver,CO,39.71882,-104.97778999999998,Speer,6/19/2017
18355719,Denver,CO,39.71557,-104.97828999999999,Speer,5/9/2017
18361467,Denver,CO,39.75748,-104.97448999999999,Five Points,4/30/2017
18377729,Denver,CO,39.7686,-105.02908000000001,West Highland,5/15/2017
18386667,Denver,CO,39.74435,-104.99481999999999,CBD,7/11/2018
18396744,Denver,CO,39.76363,-104.9709,Cole,10/24/2017
18410407,Denver,CO,39.671929999999996,-104.96481000000001,University,5/21/2017
18413665,Denver,CO,39.76704,-104.96896000000001,Cole,5/7/2017
18430891,Denver,CO,39.75181,-105.04299999999999,Sloan Lake,5/7/2017
18448203,Denver,CO,39.76256,-105.00806999999999,Highland,9/5/2017
18449124,Denver,CO,39.764920000000004,-104.96479,Cole,1/29/2018
18473767,Denver,CO,39.76441,-105.00235,Highland,5/20/2017
18477255,Denver,CO,39.70212,-104.97639,Washington Park West,6/9/2017
18501266,Denver,CO,39.759609999999995,-105.01606000000001,Highland,5/7/2017
18501879,Denver,CO,39.68616,-104.98141000000001,Platt Park,7/1/2017
18503556,Denver,CO,39.73128,-104.98626999999999,Capitol Hill,6/4/2017
18509437,Denver,CO,39.73195,-104.97818000000001,Capitol Hill,6/4/2017
18523995,Denver,CO,39.75821,-105.03785,Sloan Lake,6/19/2017
18535441,Denver,CO,39.76117,-104.97208,Whittier,5/15/2017
18544743,Denver,CO,39.756029999999996,-105.00443999999999,Union Station,5/9/2017
18550517,Denver,CO,39.76704,-104.9592,Clayton,5/12/2017
18567419,Denver,CO,39.66948,-105.04631,Harvey Park,9/4/2017
18568473,Denver,CO,39.75023,-104.9769,Five Points,5/28/2017
18582812,Denver,CO,39.76093,-104.97903000000001,Five Points,5/9/2017
18596199,Denver,CO,39.73368,-104.94458,Congress Park,5/19/2017
18601412,Denver,CO,39.68735,-104.92668,Virginia Village,5/29/2017
18616037,Denver,CO,39.74263,-105.04905,West Colfax,5/27/2017
18626757,Denver,CO,39.757259999999995,-105.00381000000002,Union Station,5/29/2017
18634186,Denver,CO,39.77053,-104.94308999999998,Clayton,5/29/2017
18654400,Denver,CO,39.73649,-105.04700000000001,West Colfax,6/3/2017
18666838,Denver,CO,39.759170000000005,-104.86936999999999,Stapleton,
18689642,Denver,CO,39.75554,-104.99043999999999,Five Points,6/24/2017
18690262,Denver,CO,39.75502,-104.98965,Five Points,10/20/2017
18699249,Denver,CO,39.67934,-104.96582,University,5/15/2017
18701163,Denver,CO,39.74483,-104.98738,North Capitol Hill,
18707846,Englewood,CO,39.67318,-104.97034,University,5/27/2017
18714336,Denver,CO,39.69437,-104.97491000000001,Washington Park West,7/20/2017
18735107,Denver,CO,39.74471,-105.03043000000001,West Colfax,8/30/2017
18736259,Denver,CO,39.75235,-104.88448000000001,Stapleton,5/30/2017
18751494,Denver,CO,39.74556,-105.02526999999999,West Colfax,7/16/2017
18753405,Denver,CO,39.736059999999995,-104.99869,Lincoln Park,6/14/2017
18753893,Denver,CO,39.76599,-105.00908999999999,Highland,6/6/2017
18754423,Denver,CO,39.74476,-105.03096000000001,West Colfax,5/30/2017
18755749,Denver,CO,39.73878,-104.96668000000001,Cheesman Park,5/29/2017
18775585,Denver,CO,39.7613,-104.9609,Whittier,5/26/2017
18778248,Denver,CO,39.64674,-104.91552,Southmoor Park,5/22/2017
18780128,Denver,CO,39.76019,-104.96619,Whittier,6/11/2017
18795352,Denver,CO,39.6465,-104.91576,Southmoor Park,6/1/2017
18805144,Denver,CO,39.71468,-104.99276,Baker,5/29/2017
18809898,Denver,CO,39.74534,-104.99595,CBD,7/31/2017
18810636,Denver,CO,39.7453,-105.03081999999999,West Colfax,1/1/2019
18810738,Denver,CO,39.63628,-104.90148,Hampden South,11/13/2017
18811589,Denver,CO,39.790009999999995,-105.04066,Regis,6/9/2017
18841778,Denver,CO,39.69882,-104.90835,Washington Virginia Vale,9/11/2017
18843560,Denver,CO,39.76336,-104.90643999999999,Northeast Park Hill,5/28/2017
18855565,Denver,CO,39.7373,-105.0463,West Colfax,6/2/2017
18871415,Denver,CO,39.68895,-104.91689,Virginia Village,6/11/2017
18878342,Denver,CO,39.72992,-104.91386999999999,Montclair,6/19/2017
18879542,Denver,CO,39.668420000000005,-104.96456,University,5/30/2017
18891531,Denver,CO,39.759640000000005,-105.02983,West Highland,6/7/2017
18892011,Denver,CO,39.78908,-105.05343,Regis,6/11/2017
18892816,Denver,CO,39.741640000000004,-104.95153,City Park,9/4/2017
18893513,Denver,CO,39.77596,-105.02903,Berkeley,8/12/2017
18909046,Denver,CO,39.766259999999996,-104.96115,Cole,6/9/2017
18931921,Denver,CO,39.763870000000004,-105.04871999999999,West Highland,5/30/2017
18933562,Denver,CO,39.736059999999995,-104.99451,Civic Center,6/9/2017
18934488,Denver,CO,39.73644,-104.97823999999999,Capitol Hill,4/26/2018
18945718,Littleton,CO,39.63111,-105.10422,Marston,6/25/2017
18950106,Denver,CO,39.73404,-104.99816000000001,Lincoln Park,6/15/2017
18957990,Denver,CO,39.686609999999995,-105.02811000000001,Mar Lee,6/4/2017
18963379,Denver,CO,39.75108,-104.99513999999999,Union Station,6/2/2017
