id,city,state,latitude,longitude,neighbourhood_cleansed,first_review
1309117,Denver,CO,39.71245,-104.97528999999999,Speer,7/29/2016
1309159,Denver,CO,39.73429,-104.98352,Capitol Hill,7/9/2013
1313699,Denver,CO,39.68363,-104.97227,University,7/17/2013
1327856,Denver,CO,39.733709999999995,-104.98163999999998,Capitol Hill,9/3/2013
1363517,Denver,CO,39.76556,-105.02152,Highland,7/27/2013
1402409,Denver,CO,39.73845,-105.03883,West Colfax,10/7/2013
1451057,Denver,CO,39.77565,-105.02396999999999,Sunnyside,2/27/2018
1454673,Denver,CO,39.734390000000005,-104.95806999999999,Congress Park,4/23/2015
1456614,Denver,CO,39.67392,-104.97211999999999,University,9/1/2013
1488774,Denver,CO,39.75759,-104.9793,Five Points,9/4/2013
1557739,Denver,CO,39.76324,-104.97143,Cole,4/22/2014
1581384,Denver,CO,39.76794,-105.05151000000001,West Highland,12/4/2013
1583103,Denver,CO,39.71954,-104.98346000000001,Speer,9/23/2018
1594161,Denver,CO,39.739259999999994,-105.04678999999999,West Colfax,9/24/2014
1600633,Denver,CO,39.74537,-104.98472,North Capitol Hill,6/18/2016
1619409,Denver,CO,39.73845,-105.04535,West Colfax,
1622963,Denver,CO,39.76579,-105.01655,Highland,4/1/2014
1629445,Denver,CO,39.73559,-104.96108999999998,Cheesman Park,11/8/2016
1637744,Denver,CO,39.74252,-104.90985,South Park Hill,7/4/2015
1641476,Denver,CO,39.752759999999995,-105.05175,Sloan Lake,10/1/2017
1724186,Denver,CO,39.76494,-104.97211000000001,Cole,10/14/2013
1733052,Denver,CO,39.73871,-104.97073,Cheesman Park,10/12/2013
1737365,Denver,CO,39.75878,-105.01353,Highland,12/21/2013
1785877,Denver,CO,39.73705,-104.96834,Cheesman Park,10/28/2013
1792152,Denver,CO,39.73404,-104.94653999999998,Congress Park,2/28/2014
1891877,Denver,CO,39.77317,-105.02828000000001,Berkeley,8/12/2014
1900638,Denver,CO,39.66697,-104.96458,University,1/13/2014
1901266,Denver,CO,39.66793,-104.96606000000001,University,3/27/2014
1905596,Denver,CO,39.78125,-105.03799,Berkeley,1/1/2014
1911814,Denver,CO,39.77194,-105.02478,Sunnyside,1/22/2014
1915301,Denver,CO,39.7693,-105.01046000000001,Sunnyside,11/11/2019
1955800,Denver,CO,39.74505,-104.99458999999999,CBD,12/17/2013
1959836,Denver,CO,39.76493,-104.95783,Clayton,12/14/2013
1959918,Denver,CO,39.73648,-105.0008,Lincoln Park,11/15/2014
1966103,Denver,CO,39.67953,-104.98035,Platt Park,7/19/2016
1975775,Denver,CO,39.76005,-104.96649,Whittier,12/30/2014
2061222,Denver,CO,39.73961,-104.91956,Montclair,5/17/2014
2072132,Denver,CO,39.76425,-104.9712,Cole,11/21/2015
2104774,Denver,CO,39.74153,-104.96733,City Park West,6/4/2015
2119667,Denver,CO,39.7341,-105.00068999999999,Lincoln Park,1/21/2014
2139342,Denver,CO,39.72061,-104.91187,Hilltop,1/30/2014
2146050,Denver,CO,39.71627,-104.98913999999999,Baker,1/20/2014
2175370,Denver,CO,39.66636,-104.96569,University,3/8/2014
2216969,Denver,CO,39.72202,-104.91176999999999,Hilltop,10/29/2015
2226979,Denver,CO,39.744009999999996,-105.03052,West Colfax,
2232323,Denver,CO,39.72203,-104.96623000000001,Country Club,3/26/2014
2232930,Denver,CO,39.71757,-104.98132,Speer,7/5/2016
2239191,Denver,CO,39.76664,-104.95477,Clayton,6/1/2015
2243316,Denver,CO,39.74176,-104.96718,City Park West,3/9/2014
2257217,Denver,CO,39.75065,-104.97726000000002,Five Points,1/29/2014
2267500,Denver,CO,39.76485,-105.03541000000001,West Highland,3/24/2014
2299068,Denver,CO,39.764920000000004,-104.94855,Clayton,9/5/2016
2332802,Denver,CO,39.750170000000004,-104.97516,Five Points,10/8/2015
2338715,Denver,CO,39.70624,-104.9816,Washington Park West,3/7/2014
2359615,Denver,CO,39.745020000000004,-104.99793000000001,CBD,9/17/2014
2360382,Denver,CO,39.73447,-105.02558,Villa Park,3/9/2014
2361919,Denver,CO,39.78009,-105.03965,Berkeley,3/5/2014
2372041,Denver,CO,39.7758,-105.01271000000001,Sunnyside,12/24/2016
2386289,Denver,CO,39.76631,-105.0336,West Highland,9/14/2014
2413516,Denver,CO,39.7314,-104.98195,Capitol Hill,2/20/2014
2441525,Denver,CO,39.77026,-105.0377,Berkeley,4/5/2014
2466830,Denver,CO,39.68889,-104.95642,Cory - Merrill,6/17/2016
2467260,Denver,CO,39.74322,-104.95003999999999,City Park,5/5/2014
2487185,Denver,CO,39.70434,-105.0102,Athmar Park,8/23/2017
2599115,Denver,CO,39.75642,-104.85848,Stapleton,4/22/2014
2653512,Denver,CO,39.76336,-105.01881000000002,Highland,3/9/2015
2723629,Denver,CO,39.75436,-104.98298999999999,Five Points,5/28/2014
2817786,Denver,CO,39.747440000000005,-104.97724,Five Points,5/19/2014
2822651,Denver,CO,39.70044,-104.93019,Washington Virginia Vale,7/1/2017
2827887,Denver,CO,39.76647,-105.00288,Highland,9/7/2014
2875696,Denver,CO,39.70726,-104.89081000000002,Windsor,7/1/2014
2908978,Denver,CO,39.73261,-104.94861000000002,Congress Park,8/10/2014
2915068,Denver,CO,39.694520000000004,-104.97672,Washington Park West,5/3/2014
2942068,Denver,CO,39.76661,-105.00211999999999,Highland,7/16/2014
2953770,Denver,CO,39.74368,-104.99673,CBD,6/21/2014
2957097,Denver,CO,39.70519,-105.0113,Athmar Park,6/15/2014
2968873,Denver,CO,39.74559,-104.98726,North Capitol Hill,5/20/2014
2978155,Denver,CO,39.73182,-104.97872,Capitol Hill,6/5/2014
2998222,Denver,CO,39.78091,-104.74517,Gateway - Green Valley Ranch,6/18/2014
3095906,Denver,CO,39.6878,-104.90343999999999,Indian Creek,5/15/2015
3115132,Denver,CO,39.77155,-105.01008999999999,Sunnyside,10/14/2014
3138055,Denver,CO,39.730779999999996,-104.97818000000001,Capitol Hill,7/8/2018
3150813,Denver,CO,39.76931,-104.96503,Cole,6/28/2014
3183154,Denver,CO,39.766909999999996,-105.00186000000001,Highland,9/26/2014
3196917,Denver,CO,39.66933,-104.96231,University,6/10/2014
3217063,Denver,CO,39.730540000000005,-104.99699,Lincoln Park,5/1/2016
